,id,score
9708,5820,60.1
9707,5329,60.1
9706,685,60.1
9705,1325,60.160000000000004
9704,1905,60.160000000000004
9703,9114,60.169999999999995
9702,6610,60.18
9701,1006,60.2
9700,484,60.2
9699,2709,60.2
9698,3478,60.220000000000006
9697,7963,60.220000000000006
9696,2285,60.220000000000006
9695,7552,60.220000000000006
9694,6636,60.25
9693,209,60.25000000000001
9692,8662,60.28
9691,1902,60.34
9690,9610,60.36
9689,3922,60.370000000000005
9688,697,60.39
9687,6337,60.42
9686,5921,60.42
9685,673,60.440000000000005
9684,5501,60.440000000000005
9683,8587,60.440000000000005
9682,1992,60.45
9681,2040,60.46
9680,2195,60.46000000000001
9679,441,60.470000000000006
9678,1353,60.48
9677,5017,60.480000000000004
9676,7575,60.480000000000004
9675,5909,60.51
9674,7000,60.51
9673,237,60.51
9672,6630,60.53
9671,4609,60.550000000000004
9670,3340,60.56
9669,990,60.59
9668,9656,60.599999999999994
9667,556,60.61
9666,1120,60.67
9665,7225,60.67
9664,7559,60.690000000000005
9663,1845,60.71
9662,3605,60.71000000000001
9661,3510,60.71000000000001
9660,1616,60.72000000000001
9659,2073,60.73
9658,983,60.730000000000004
9657,2392,60.730000000000004
9656,4570,60.73000000000001
9655,9477,60.75
9654,5432,60.77000000000001
9653,4120,60.77000000000001
9652,4213,60.78
9651,60,60.80000000000001
9650,5849,60.81000000000001
9649,5448,60.83000000000001
9648,3835,60.85
9647,3104,60.85
9646,4330,60.86000000000001
9645,8945,60.879999999999995
9644,5521,60.900000000000006
9643,283,60.92
9642,1842,60.92000000000001
9641,118,60.93000000000001
9640,666,60.94
9639,899,60.96
9638,5747,60.96000000000001
9637,1500,60.980000000000004
9636,6702,60.980000000000004
9635,2005,60.980000000000004
9634,829,60.980000000000004
9633,4645,60.98000000000001
9632,84,61.0
9631,347,61.00000000000001
9630,8391,61.00000000000001
9629,1036,61.02
9628,2493,61.02
9627,5077,61.02
9626,8903,61.03
9625,4172,61.040000000000006
9624,1539,61.040000000000006
9623,1128,61.06000000000001
9622,3320,61.08000000000001
9621,805,61.120000000000005
9620,540,61.120000000000005
9619,935,61.14
9618,740,61.14000000000001
9617,6877,61.14000000000001
9616,599,61.14000000000001
9615,1071,61.150000000000006
9614,2251,61.24
9613,4547,61.24000000000001
9612,4840,61.24000000000001
9611,1586,61.260000000000005
9610,161,61.27
9609,8555,61.27
9608,1451,61.28
9607,705,61.28000000000001
9606,3788,61.28000000000001
9605,3715,61.28000000000001
9604,7604,61.29
9603,8451,61.29
9602,6725,61.290000000000006
9601,5953,61.290000000000006
9600,3459,61.300000000000004
9599,4406,61.30000000000001
9598,4523,61.31
9597,2516,61.330000000000005
9596,8519,61.330000000000005
9595,4443,61.34
9594,5019,61.36
9593,604,61.360000000000014
9592,730,61.38
9591,4186,61.39000000000001
